id_cegado;nombre;descripcion;actor;entradas_salidas;precondicion_postcondicion;prioridad_moscow;criterio_verificacion
R-001;Registro de devolución de fruta rechazada;Función: registrar la devolución de la fruta rechazada en el mismo vehículo que la transportó.;Basculero / Operarios de pista;Entrada: identificación del vehículo y de la fruta rechazada. Salida: registro de devolución vinculado al vehículo.;Precondición: se determinó que la fruta debe ser rechazada. | Postcondición: la devolución queda registrada y el vehículo regresa a báscula.;Must;Verificación: Cada rechazo genera un registro de devolución asociado al vehículo correspondiente.
R-002;Registro de recepción de fruta en el centro de acopio;Función: Registrar cada llegada de vehículo con centro de acopio, fecha y hora, finca, productor y conductor, y generar un identificador único de recepción.;Basculero / Técnico de extractora;Entrada: centro de acopio, fecha y hora, finca, productor y conductor. Salida: recepción con identificador único.;Precondición: vehículo en centro habilitado. | Postcondición: recepción abierta para pesaje.;Must;Verificación: Registrada una llegada con los cinco datos requeridos, generar un identificador único que permita recuperar centro de acopio, finca, productor, conductor, fecha y hora.
R-003;Registro de defectos de calidad en el tiquete;Función: incluir en el tiquete los defectos detectados en la fruta: fruta verde, fruta sobremadura, malformada y pedúnculos largos.;Sistema interno de la empresa;Entrada: defectos registrados en pista. Salida: campo de defectos en el tiquete.;Precondición: se detectaron uno o más defectos en la fruta evaluada. | Postcondición: el tiquete refleja los defectos identificados.;Must;Verificación: El tiquete muestra todos los defectos aplicables detectados durante la calificación en pista.
R-004;Gestión de variedades de palma;Función: Registrar por lote la variedad sembrada y usarla para parametrizar umbrales de diagnóstico y madurez y las advertencias sobre polinizadores naturales.;Administrador / Asesor técnico;Entrada: variedad y parámetros del lote. Salida: umbrales para diagnóstico y clasificación.;Precondición: lote existente. | Postcondición: módulos de IA usan los umbrales de su variedad.;Must;Verificación: Para guineensis aplicar un umbral de madurez de 3 frutos desprendidos y para híbrido, de 5.
R-005;Rechazo por malformación superior al 30 por ciento;Función: Marcar la fruta como no recibida cuando la malformación evaluada supere el 30 %.;Técnico de extractora;Entrada: porcentaje de malformación. Salida: recepción o rechazo con motivo.;Precondición: malformación evaluada. | Postcondición: regla aplicada y motivo registrado.;Must;"Verificación: Con 30,5 % marcar la fruta como no recibida; con 30 % o menos permitir continuar la recepción."
R-006;Registro de conteo de racimos por parte de la hacienda;Función: a la hacienda subir el conteo de racimos cosechados como parte de la información compartida con la extractora.;Hacienda / productor;Entrada: número de racimos cosechados. Salida: registro de conteo de racimos vinculado a la finca.;Precondición: la hacienda cuenta con el conteo de racimos del día. | Postcondición: el conteo queda registrado y disponible para la extractora.;Must;Verificación: El sistema almacena un valor de conteo de racimos para cada registro de cosecha subido por la hacienda.
R-007;Cálculo del peso neto a partir de la tara de salida;Función: Registrar el peso de salida como tara y calcular el peso neto como diferencia entre peso bruto y tara.;Basculero;Entrada: peso bruto y peso de salida. Salida: tara y peso neto.;Precondición: peso bruto registrado y vehículo en báscula. | Postcondición: peso neto disponible para emitir el ticket.;Must;Verificación: Con 20 000 kg de peso bruto y 7 500 kg de tara, calcular y conservar 12 500 kg de peso neto.
R-008;Histórico de producción de la finca;Función: mantener un histórico de cómo evoluciona la producción de una finca, a partir de los registros de conteo de racimos y peso promedio compartidos.;Extractora;Entrada: registros históricos de conteo de racimos y peso promedio. Salida: histórico consolidado de producción por finca.;Precondición: existen registros previos de conteo y peso promedio de la finca. | Postcondición: el histórico de producción queda actualizado.;Should;Verificación: El sistema permite consultar la evolución histórica de producción de una finca a lo largo del tiempo.
R-009;Registro de calificación de tamaño de fruta en el tiquete;Función: incluir en el tiquete la calificación de tamaño de la fruta como grande, mediana o pequeña.;Sistema interno de la empresa;Entrada: calificación de tamaño registrada en pista. Salida: campo de calificación de tamaño en el tiquete.;Precondición: la fruta fue calificada por tamaño en pista. | Postcondición: el tiquete muestra la calificación de tamaño correspondiente.;Must;Verificación: El tiquete generado muestra una de las tres categorías de tamaño (grande, mediana, pequeña) para cada lote.
R-010;Compartir estimación de cosecha con la extractora;Función: que la hacienda comparta con la extractora la cantidad estimada de cosecha, sin incluir información personal sensible.;Hacienda / productor;Entrada: estimación de cosecha de la hacienda. Salida: información de estimación visible para la extractora, excluyendo datos personales sensibles.;Precondición: la hacienda generó una estimación de cosecha. | Postcondición: la extractora puede consultar la estimación compartida.;Must;Verificación: La información compartida con la extractora nunca incluye campos de datos personales sensibles del productor.
