id_requisito;nombre;COBERTURA_PROPUESTA;MOTIVO_PROPUESTA;pantalla;evidencia_archivo_linea;COBERTURA_VERIFICADA;VERIFICADO_POR
RF-01;Autenticación y control de acceso por rol;EJERCITADO_EN_E1;ejecutado con resultado registrado en la prueba E2E de E1, sin rotulo en pantalla;;05_MVP/evidencia_e2e/registro_prueba_e2e.md;;
RF-02;Gestión de plantaciones y lotes;DECLARADO_EN_PANTALLA;el codigo lo rotula en la pantalla «Plantaciones y lotes»;Plantaciones y lotes;"Prototipo/index.html:49; prototipo_v2/Prottotipo_Simpa-main/Prototipo/index.html:49";;
RF-03;Gestión de personal y equipos de trabajo;DECLARADO_EN_PANTALLA;el codigo lo rotula en la pantalla «Personal, equipos y cuentas»;Personal, equipos y cuentas;"Prototipo/index.html:149; prototipo_v2/Prottotipo_Simpa-main/Prototipo/index.html:149";;
RF-04;Registro de labores agrícolas;DECLARADO_EN_PANTALLA;el codigo lo rotula en la pantalla «Labores y avance»;Labores y avance;"Prototipo/index.html:59; prototipo_v2/Prottotipo_Simpa-main/Prototipo/index.html:59";;
RF-05;Registro de monitoreo fitosanitario;SOLO_INDICIO;"no se cita el identificador; coincide el nombre del requisito";;"Prototipo/index.html:55; Prototipo/index.html:57";;
RF-07;Detección de plagas y enfermedades por análisis de imagen;DECLARADO_EN_PANTALLA;el codigo lo rotula en la pantalla «Análisis asistido por IA»;Análisis asistido por IA;"Prototipo/index.html:55; prototipo_v2/Prottotipo_Simpa-main/Prototipo/index.html:55";;
RF-08;Diagnóstico de deficiencias nutricionales por análisis de imagen;DECLARADO_EN_PANTALLA;el codigo lo rotula en la pantalla «Análisis asistido por IA»;Análisis asistido por IA;"Prototipo/index.html:55; prototipo_v2/Prottotipo_Simpa-main/Prototipo/index.html:55";;
RF-10;Gestión de variedades de palma;DECLARADO_EN_PANTALLA;el codigo lo rotula en la pantalla «Plantaciones y lotes»;Plantaciones y lotes;"Prototipo/index.html:49; prototipo_v2/Prottotipo_Simpa-main/Prototipo/index.html:49";;
RF-12;Generación de alertas tempranas;DECLARADO_EN_PANTALLA;el codigo lo rotula en la pantalla «Alertas tempranas»;Alertas tempranas;"Prototipo/index.html:145; prototipo_v2/Prottotipo_Simpa-main/Prototipo/index.html:145";;
RF-13;Registro del proceso de polinización;DECLARADO_EN_PANTALLA;el codigo lo rotula en la pantalla «Labores y avance / Mapa GPS y polinización»;Labores y avance / Mapa GPS y polinización;"Prototipo/index.html:59; Prototipo/index.html:69";;
RF-14;Conteo georreferenciado de flores polinizadas;DECLARADO_EN_PANTALLA;el codigo lo rotula en la pantalla «Mapa GPS y polinización»;Mapa GPS y polinización;"Prototipo/index.html:69; prototipo_v2/Prottotipo_Simpa-main/Prototipo/index.html:69";;
RF-18;Estimación de producción y rendimiento;DECLARADO_EN_PANTALLA;el codigo lo rotula en la pantalla «Reportes, estimación e histórico»;Reportes, estimación e histórico;"Prototipo/index.html:137; prototipo_v2/Prottotipo_Simpa-main/Prototipo/index.html:137";;
RF-19;Generación de reportes;DECLARADO_EN_PANTALLA;el codigo lo rotula en la pantalla «Reportes, estimación e histórico»;Reportes, estimación e histórico;"Prototipo/index.html:137; prototipo_v2/Prottotipo_Simpa-main/Prototipo/index.html:137";;
RF-21;Clasificación de madurez del racimo por desprendimiento;DECLARADO_EN_PANTALLA;el codigo lo rotula en la pantalla «Análisis asistido por IA / Calidad y relación con extractora»;Análisis asistido por IA / Calidad y relación con extractora;"Prototipo/index.html:130; Prototipo/index.html:55";;
RF-22;Estimación y alerta preventiva de porcentaje de fruta verde;EJERCITADO_EN_E1;rotulado en la pantalla «Calidad y relación con extractora / Alertas tempranas» y ejecutado con resultado registrado en la prueba E2E de E1;Calidad y relación con extractora / Alertas tempranas;"Prototipo/index.html:130; Prototipo/index.html:145";;
RF-26;Planificación semanal de labores con presupuesto;DECLARADO_EN_PANTALLA;el codigo lo rotula en la pantalla «Labores y avance»;Labores y avance;"Prototipo/index.html:59; prototipo_v2/Prottotipo_Simpa-main/Prototipo/index.html:59";;
RF-28;Registro de avance por unidad de labor;DECLARADO_EN_PANTALLA;el codigo lo rotula en la pantalla «Labores y avance»;Labores y avance;"Prototipo/index.html:59; prototipo_v2/Prottotipo_Simpa-main/Prototipo/index.html:59";;
RF-30;Reporte de incidencia desde campo con evidencia fotográfica y georreferencia;DECLARADO_EN_PANTALLA;el codigo lo rotula en la pantalla «Mapa GPS y polinización»;Mapa GPS y polinización;"Prototipo/index.html:69; prototipo_v2/Prottotipo_Simpa-main/Prototipo/index.html:69";;
RF-35;Registro delegado para personal sin dispositivo propio;DECLARADO_EN_PANTALLA;el codigo lo rotula en la pantalla «Labores y avance / Personal, equipos y cuentas»;Labores y avance / Personal, equipos y cuentas;"Prototipo/index.html:149; Prototipo/index.html:59";;
RF-36;Catálogo codificado de labores con tarifa por unidad;DECLARADO_EN_PANTALLA;el codigo lo rotula en la pantalla «Labores y avance»;Labores y avance;"Prototipo/index.html:59; prototipo_v2/Prottotipo_Simpa-main/Prototipo/index.html:59";;
RF-37;Liquidación semanal de presupuesto contra ejecución;DECLARADO_EN_PANTALLA;el codigo lo rotula en la pantalla «Labores y avance»;Labores y avance;"Prototipo/index.html:59; prototipo_v2/Prottotipo_Simpa-main/Prototipo/index.html:59";;
RF-40;Exportación de los datos personales de la persona titular;EJERCITADO_EN_E1;ejecutado con resultado registrado en la prueba E2E de E1, sin rotulo en pantalla;;05_MVP/evidencia_e2e/registro_prueba_e2e.md;;
RF-41;Rectificación de datos con conservación en bitácora;EJERCITADO_EN_E1;ejecutado con resultado registrado en la prueba E2E de E1, sin rotulo en pantalla;;05_MVP/evidencia_e2e/registro_prueba_e2e.md;;
RF-42;Supresión de datos personales con disociación del histórico productivo;EJERCITADO_EN_E1;ejecutado con resultado registrado en la prueba E2E de E1, sin rotulo en pantalla;;05_MVP/evidencia_e2e/registro_prueba_e2e.md;;
