archivo_origen;linea_csv;ID_evidencia;transcripcion;Fragmento_parafraseado;Codigo;Requisito_derivado;Analista_codificador;CITA_LITERAL;LINEA_TRANSCRIPCION;ESTADO;REVISOR_CITA;motivo_retiro;detalle_retiro
codificacion.csv;25;EV-01;2026-05-23_ENTR-01_Transcripcion.md;Se requiere historial de actividades y diagnosticos por lote;HISTORIAL_LOTE;RF-20;VER;;;NO_LOCALIZADA;Claude;SIN_RESPALDO_EN_TRANSCRIPCION_LITERAL;ENTR-01 no habla de historial de actividades o diagnosticos por lote.
codificacion.csv;46;EV-02;2026-05-23_ENTR-02_Transcripcion.md;Convendria generar reportes sobre cultivo, cosechas y trabajadores;CONSOLIDADO_SEMANAL;RF-19;VER;;;PENDIENTE_VERIFICACION_TIMESTAMP;Claude;POSIBLE_FALTANTE_EN_RETRANSCRIPCION_NO_INVENTADO;"El 21/09 Arboleda Yanza aporto una version en texto de este intercambio que coincide tematicamente (reportes de cultivo/cosechas/trabajadores, app, costos), pero sin minuto de audio verificable y sin confirmar que sea transcripcion literal (se descarto una fuente por IA sin acceso real al audio). No se retira ni se incorpora al .md hasta escuchar el audio real y ubicar el timestamp exacto."
codificacion.csv;41;EV-02;2026-05-23_ENTR-02_Transcripcion.md;Una fotografia de la hoja amarilla deberia indicar que le falta a la planta;DIAGNOSTICO_POR_IMAGEN;RF-08;VER;;;NO_LOCALIZADA;Claude;SIN_RESPALDO_EN_TRANSCRIPCION_LITERAL;"Solo existia en la version del 03/09 de ENTR-02 (no literal); no aparece en la retranscripcion."
codificacion.csv;42;EV-02;2026-05-23_ENTR-02_Transcripcion.md;Serviria para el personal que no tiene tanto conocimiento;USUARIO_NO_EXPERTO;RNF-16;VER;;;NO_LOCALIZADA;Claude;SIN_RESPALDO_EN_TRANSCRIPCION_LITERAL;"Solo existia en la version del 03/09 de ENTR-02 (no literal); no aparece en la retranscripcion."
codificacion.csv;44;EV-02;2026-05-23_ENTR-02_Transcripcion.md;El administrador revisa que el trabajo este bien hecho;EVALUACION_DESEMPENO;RF-16;VER;;;NO_LOCALIZADA;Claude;SIN_RESPALDO_EN_TRANSCRIPCION_LITERAL;"No aparece en la retranscripcion de ENTR-02; su parecido con ENTR-01 es solo general."
codificacion.csv;45;EV-02;2026-05-23_ENTR-02_Transcripcion.md;Se paga una parte al diario y otra por avance;TRANSPARENCIA_PAGO;RF-29;VER;;;NO_LOCALIZADA;Claude;SIN_RESPALDO_EN_TRANSCRIPCION_LITERAL;No aparece en la retranscripcion de ENTR-02 sobre la forma de pago.
codificacion.csv;46;EV-02;2026-05-23_ENTR-02_Transcripcion.md;Convendria generar reportes sobre cultivo, cosechas y trabajadores;CONSOLIDADO_SEMANAL;RF-19;VER;;;NO_LOCALIZADA;Claude;SIN_RESPALDO_EN_TRANSCRIPCION_LITERAL;"Solo existia en la version del 03/09 de ENTR-02 (no literal); no aparece en la retranscripcion."
codificacion.csv;60;EV-03;2026-05-23_ENTR-03_Transcripcion.md;Se necesita que el registro no dependa de anotar planta por planta;RASTREO_GPS;RF-14;VER;;;NO_LOCALIZADA;Claude;SIN_RESPALDO_EN_TRANSCRIPCION_LITERAL;"ENTR-03 solo pide marcaciones del GPS para el numero de flores; no habla de evitar el registro planta por planta."
codificacion.csv;79;EV-04;2026-07-28_ENTR-04_Transcripcion.md;El grupo de seleccionadores califica el fruto tras el pesaje;CRITERIO_RECEPCION;RF-23;VER;;;NO_LOCALIZADA;Claude;DUPLICADO;Ya codificado en ENTR-08 como 'El grupo de seleccionadores revisa el fruto despues del pesaje'.
codificacion.csv;81;EV-04;2026-07-28_ENTR-04_Transcripcion.md;Se realizan visitas tecnicas al productor antes de aplicar el castigo;LATENCIA_INSPECCION;RF-24;VER;;;NO_LOCALIZADA;Claude;DUPLICADO;Ya codificado en ENTR-08 como 'Se hace visita tecnica para ver si el problema es de cosecha o de cultivo'.
codificacion.csv;94;EV-05;2026-07-28_ENTR-05_Transcripcion.md;La senal solo llega a la parte principal de la hacienda;CONECTIVIDAD_PARCIAL;RNF-11;VER;;;NO_LOCALIZADA;Claude;DUPLICADO;Ya codificado en ENTR-06 como 'La senal de internet solo llega a la casa, no a todo el cultivo'.
codificacion.csv;101;EV-06;2026-07-28_ENTR-06_Transcripcion.md;El conteo se entrega al encargado al terminar la jornada;ENTREGA_VERBAL;RF-28;VER;;;NO_LOCALIZADA;Claude;DUPLICADO;Ya codificado en ENTR-05 como 'El conteo se entrega verbalmente al encargado al final de la jornada'.
codificacion.csv;106;EV-06;2026-07-28_ENTR-06_Transcripcion.md;Se avisa de inmediato cuando se detecta un problema en la planta;EVIDENCIA_FOTOGRAFICA;RF-30;VER;;;NO_LOCALIZADA;Claude;DUPLICADO;Ya codificado en ENTR-05 como 'Al ver una planta enferma se avisa al encargado'.
codificacion.csv;118;EV-07;2026-07-28_ENTR-07_Transcripcion.md;Seria util ver cuanto se trabajo y cuanto se lleva ganado;TRANSPARENCIA_PAGO;RF-29;VER;;;NO_LOCALIZADA;Claude;SIN_RESPALDO_EN_TRANSCRIPCION_LITERAL;"ENTR-07 no habla de ver cuanto se trabajo ni cuanto se lleva ganado; ese tema es de ENTR-05."
