pregunta;entrevista;estado;cita_literal;linea;transcripcion;nota
1;ENTR-01;PREGUNTADA;Entonces la función del administrador es recorrer todos los trabajos y hace la revision de que todos los equipos esten cumpliendo con su funcion.;11;2026-05-23_ENTR-01_Transcripcion.md;
2;ENTR-01;ESPONTANEA;se tiene un equipo de polinizacion, se tiene un equipo de controles fitosanitarios, se tiene un equipo de riego y un equipo de labores.;11;2026-05-23_ENTR-01_Transcripcion.md;
3;ENTR-01;NO_ABORDADA;;;2026-05-23_ENTR-01_Transcripcion.md;"No se formuló; solo se pregunta por reingreso o carencia en la guía A.2."
4;ENTR-01;NO_ABORDADA;;;2026-05-23_ENTR-01_Transcripcion.md;
5;ENTR-01;ESPONTANEA;Si si tienes una fruta eh en buena en buena calidad es porque te ha dado ha hecho eh el operador ha hecho un buen trabajo y si no pues eh efectivamente se da cuenta uno de que el operador no está cumpliendo con su trabajo;75;2026-05-23_ENTR-01_Transcripcion.md;Respuesta a la pregunta por el desempeño de los trabajadores.
6;ENTR-01;PREGUNTADA;Eh por rendimiento y producción, o sea este en el tema de los polinizadores pues ellos cuentan las flores que han polinizado en el día;75;2026-05-23_ENTR-01_Transcripcion.md;
7;ENTR-01;NO_ABORDADA;;;2026-05-23_ENTR-01_Transcripcion.md;No se formuló ni se abordó el reporte a organismos de control.
8;ENTR-01;NO_ABORDADA;;;2026-05-23_ENTR-01_Transcripcion.md;
9;ENTR-01;PREGUNTADA;siempre medimos el tema de lluvias, ya, mediante un pluviómetro. Eso nos nos nos da una idea de de cuánto hemos tenido de lluvia durante el año. Eh adicional pues por medio de las estaciones meteorológicas eh tú puedes darte una una idea de cómo está eh a nivel general.;59;2026-05-23_ENTR-01_Transcripcion.md;
10;ENTR-01;NO_ABORDADA;;;2026-05-23_ENTR-01_Transcripcion.md;
11;ENTR-01;PREGUNTADA;Eh el tema uno de plagas, cómo reconocer la plaga, porque de acuerdo cómo este de acuerdo a la plaga pues tú tienes este prácticamente eh el producto para poderla controlar, eh también este las etapas de de la plaga;67;2026-05-23_ENTR-01_Transcripcion.md;Pregunta sobre información deseada del análisis de imágenes con IA.
12;ENTR-01;PREGUNTADA;Sí, en el tema de de de plagas y enfermedades sería súper interesante porque, por ejemplo, hay diferentes plagas que a veces no se las puede identificar eh visualmente o o no tienes este o las personas que no tienen tanto conocimiento en el tema de plagas ya este tomándole una foto pues sabes eh la especie, la familia de la plaga;63;2026-05-23_ENTR-01_Transcripcion.md;Pregunta INDUCIDA: el entrevistador propone el análisis de imágenes con IA (línea 61).
13;ENTR-01;PREGUNTADA;En en el tema de de a nivel general el problema es la mano de obra.;83;2026-05-23_ENTR-01_Transcripcion.md;
1;ENTR-02;PREGUNTADA;revisamos diariamente todas las actividades que deben realizarse dentro del cultivo, precisamente en lo agrícola, como la chapia y la corona.;15;2026-05-23_ENTR-02_Transcripcion.md;
2;ENTR-02;ESPONTANEA;en esta plantación que es pequeña tenemos dos, ¿no? Entonces estas dos personas dan la vuelta, dan la vuelta todo alrededor;43;2026-05-23_ENTR-02_Transcripcion.md;"Sobre sanidad; no describe la planificación por lote."
3;ENTR-02;PARCIAL;Eso tenemos que hacerlo por lo menos repetidamente cada semana, hasta que la plaga termine.;27;2026-05-23_ENTR-02_Transcripcion.md;"Solo la frecuencia de aplicación; nada sobre reingreso ni carencia."
4;ENTR-02;NO_ABORDADA;;;2026-05-23_ENTR-02_Transcripcion.md;
5;ENTR-02;NO_ABORDADA;;;2026-05-23_ENTR-02_Transcripcion.md;
6;ENTR-02;PREGUNTADA;Y ahí nos damos cuenta si el trabajador o la persona que está realizando el trabajo está atrasado o va avanzando o no está haciendo nada.;95;2026-05-23_ENTR-02_Transcripcion.md;
7;ENTR-02;NO_ABORDADA;;;2026-05-23_ENTR-02_Transcripcion.md;No se formuló ni se abordó el reporte a organismos de control.
8;ENTR-02;NO_ABORDADA;;;2026-05-23_ENTR-02_Transcripcion.md;
9;ENTR-02;PREGUNTADA;Para nosotros poder ver cuánto milímetro de de lluvia ha caído de repente.;71;2026-05-23_ENTR-02_Transcripcion.md;
10;ENTR-02;PARCIAL;Ahí llevamos un registro, ¿no?;71;2026-05-23_ENTR-02_Transcripcion.md;"Registro de lluvia; no dice si es en papel o en hoja de cálculo."
11;ENTR-02;NO_ABORDADA;;;2026-05-23_ENTR-02_Transcripcion.md;
12;ENTR-02;NO_ABORDADA;;;2026-05-23_ENTR-02_Transcripcion.md;
13;ENTR-02;PREGUNTADA;Sí, los problemas más comunes en este caso que son... prácticamente la nutrición.;19;2026-05-23_ENTR-02_Transcripcion.md;
1;ENTR-03;NO_ABORDADA;;;2026-05-23_ENTR-03_Transcripcion.md;
2;ENTR-03;NO_ABORDADA;;;2026-05-23_ENTR-03_Transcripcion.md;
3;ENTR-03;NO_ABORDADA;;;2026-05-23_ENTR-03_Transcripcion.md;"No se formuló; solo se pregunta por reingreso o carencia en la guía A.2."
4;ENTR-03;NO_ABORDADA;;;2026-05-23_ENTR-03_Transcripcion.md;
5;ENTR-03;PREGUNTADA;La mayor, es visible, por lo que es un talco industrial más una hormona, y se puede observar a raíz desde su primer momento de aplicación.;33;2026-05-23_ENTR-03_Transcripcion.md;
6;ENTR-03;PREGUNTADA;Con un rastreador GPS.;45;2026-05-23_ENTR-03_Transcripcion.md;Respuesta a '¿mediante qué control?'.
7;ENTR-03;NO_ABORDADA;;;2026-05-23_ENTR-03_Transcripcion.md;No se formuló ni se abordó el reporte a organismos de control.
8;ENTR-03;NO_ABORDADA;;;2026-05-23_ENTR-03_Transcripcion.md;
9;ENTR-03;PREGUNTADA;El clima influye porque la palma necesita horas luz, entre 8 a 12 horas luz aproximadamente en el día, para poder formar cada racimo y su maduración.;37;2026-05-23_ENTR-03_Transcripcion.md;
10;ENTR-03;NO_ABORDADA;;;2026-05-23_ENTR-03_Transcripcion.md;
11;ENTR-03;PREGUNTADA;Que el rastreador GPS tenga marcaciones para poder marcar el número de flores polinizadas diariamente.;49;2026-05-23_ENTR-03_Transcripcion.md;
12;ENTR-03;NO_ABORDADA;;;2026-05-23_ENTR-03_Transcripcion.md;
13;ENTR-03;PREGUNTADA;Los problemas que más se frecuentan es el problema laboral.;29;2026-05-23_ENTR-03_Transcripcion.md;
1;ENTR-04;NO_ABORDADA;;;2026-07-28_ENTR-04_Transcripcion.md;
2;ENTR-04;NO_ABORDADA;;;2026-07-28_ENTR-04_Transcripcion.md;
3;ENTR-04;NO_ABORDADA;;;2026-07-28_ENTR-04_Transcripcion.md;"No se formuló; solo se pregunta por reingreso o carencia en la guía A.2."
4;ENTR-04;NO_ABORDADA;;;2026-07-28_ENTR-04_Transcripcion.md;
5;ENTR-04;NO_ABORDADA;;;2026-07-28_ENTR-04_Transcripcion.md;
6;ENTR-04;NO_ABORDADA;;;2026-07-28_ENTR-04_Transcripcion.md;
7;ENTR-04;ESPONTANEA;Actualmente muchos de los palmeros en sí no manejan esta guía de remisión, aunque es exigido por Agrocalidad.;63;2026-07-28_ENTR-04_Transcripcion.md;"La guía de remisión la exige Agrocalidad; no se preguntó por reportes a organismos de control."
8;ENTR-04;PREGUNTADA;Entonces, nosotros normalmente recomendamos que sea en las 24 horas, pero siempre pasan hasta 48, 30 y un poquito más.;39;2026-07-28_ENTR-04_Transcripcion.md;
9;ENTR-04;NO_ABORDADA;;;2026-07-28_ENTR-04_Transcripcion.md;
10;ENTR-04;PARCIAL;nosotros tenemos un sistema interno en la empresa donde nosotros simplemente ingresamos los datos, en este caso al sistema, y el sistema los arroja en un ticket.;59;2026-07-28_ENTR-04_Transcripcion.md;Registro en sistema interno de la extractora, no en papel u hoja de cálculo.
11;ENTR-04;PREGUNTADA;que se pueda llevar quizás cuando suban el conteo de racimos, quizás el peso promedio que tengan, para nosotros también llevar un registro o un histórico de cómo puede ir mejorando o no la producción de toda la finca, en este caso esta de aquí también.;79;2026-07-28_ENTR-04_Transcripcion.md;Respuesta sobre una aplicación en el celular de la hacienda.
12;ENTR-04;NO_ABORDADA;;;2026-07-28_ENTR-04_Transcripcion.md;
