codigo;uso_audio;uso_video_entrevista;uso_foto_entorno;uso_video_member_checking;uso_repositorio_abierto_anonimizado;uso_envio_llm_externo;nota
ENTR-01;PENDIENTE_VERIFICAR_CHECKBOX_CONSENTIMIENTO_ORIGINAL;PENDIENTE_VERIFICAR_CHECKBOX_CONSENTIMIENTO_ORIGINAL;NO_CUBIERTO_POR_EL_INSTRUMENTO;PENDIENTE_VERIFICAR_ACTA_ORIGINAL;OCURRIO_SIN_CLAUSULA_ESPECIFICA_EN_EL_INSTRUMENTO;OCURRIO_SIN_CLAUSULA_ESPECIFICA_EN_EL_INSTRUMENTO;Ronda 1, consentimiento manuscrito
ENTR-02;PENDIENTE_VERIFICAR_CHECKBOX_CONSENTIMIENTO_ORIGINAL;PENDIENTE_VERIFICAR_CHECKBOX_CONSENTIMIENTO_ORIGINAL;NO_CUBIERTO_POR_EL_INSTRUMENTO;PENDIENTE_VERIFICAR_ACTA_ORIGINAL;OCURRIO_SIN_CLAUSULA_ESPECIFICA_EN_EL_INSTRUMENTO;OCURRIO_SIN_CLAUSULA_ESPECIFICA_EN_EL_INSTRUMENTO;Ronda 1, consentimiento manuscrito
ENTR-03;PENDIENTE_VERIFICAR_CHECKBOX_CONSENTIMIENTO_ORIGINAL;PENDIENTE_VERIFICAR_CHECKBOX_CONSENTIMIENTO_ORIGINAL;NO_CUBIERTO_POR_EL_INSTRUMENTO;NO_APLICA_SIN_MEMBER_CHECKING;OCURRIO_SIN_CLAUSULA_ESPECIFICA_EN_EL_INSTRUMENTO;OCURRIO_SIN_CLAUSULA_ESPECIFICA_EN_EL_INSTRUMENTO;Ronda 1, consentimiento manuscrito
ENTR-04;PENDIENTE_VERIFICAR_CHECKBOX_CONSENTIMIENTO_ORIGINAL;PENDIENTE_VERIFICAR_CHECKBOX_CONSENTIMIENTO_ORIGINAL;NO_CUBIERTO_POR_EL_INSTRUMENTO;NO_APLICA_SIN_MEMBER_CHECKING;OCURRIO_SIN_CLAUSULA_ESPECIFICA_EN_EL_INSTRUMENTO;OCURRIO_SIN_CLAUSULA_ESPECIFICA_EN_EL_INSTRUMENTO;Ronda 2, formulario A.03
ENTR-05;PENDIENTE_VERIFICAR_CHECKBOX_CONSENTIMIENTO_ORIGINAL;PENDIENTE_VERIFICAR_CHECKBOX_CONSENTIMIENTO_ORIGINAL;NO_CUBIERTO_POR_EL_INSTRUMENTO;NO_APLICA_SIN_MEMBER_CHECKING;OCURRIO_SIN_CLAUSULA_ESPECIFICA_EN_EL_INSTRUMENTO;OCURRIO_SIN_CLAUSULA_ESPECIFICA_EN_EL_INSTRUMENTO;Ronda 2, formulario A.03
ENTR-06;PENDIENTE_VERIFICAR_CHECKBOX_CONSENTIMIENTO_ORIGINAL;PENDIENTE_VERIFICAR_CHECKBOX_CONSENTIMIENTO_ORIGINAL;NO_CUBIERTO_POR_EL_INSTRUMENTO;NO_APLICA_SIN_MEMBER_CHECKING;OCURRIO_SIN_CLAUSULA_ESPECIFICA_EN_EL_INSTRUMENTO;OCURRIO_SIN_CLAUSULA_ESPECIFICA_EN_EL_INSTRUMENTO;Ronda 2, formulario A.03
ENTR-07;PENDIENTE_VERIFICAR_CHECKBOX_CONSENTIMIENTO_ORIGINAL;PENDIENTE_VERIFICAR_CHECKBOX_CONSENTIMIENTO_ORIGINAL;NO_CUBIERTO_POR_EL_INSTRUMENTO;NO_APLICA_SIN_MEMBER_CHECKING;OCURRIO_SIN_CLAUSULA_ESPECIFICA_EN_EL_INSTRUMENTO;OCURRIO_SIN_CLAUSULA_ESPECIFICA_EN_EL_INSTRUMENTO;Ronda 2, formulario A.03
ENTR-08;PENDIENTE_VERIFICAR_CHECKBOX_CONSENTIMIENTO_ORIGINAL;PENDIENTE_VERIFICAR_CHECKBOX_CONSENTIMIENTO_ORIGINAL;NO_CUBIERTO_POR_EL_INSTRUMENTO;NO_APLICA_SIN_MEMBER_CHECKING;OCURRIO_SIN_CLAUSULA_ESPECIFICA_EN_EL_INSTRUMENTO;OCURRIO_SIN_CLAUSULA_ESPECIFICA_EN_EL_INSTRUMENTO;Ronda 2, formulario A.03
ENTR-09;PENDIENTE_VERIFICAR_CHECKBOX_CONSENTIMIENTO_ORIGINAL;PENDIENTE_VERIFICAR_CHECKBOX_CONSENTIMIENTO_ORIGINAL;NO_CUBIERTO_POR_EL_INSTRUMENTO;NO_APLICA_SIN_MEMBER_CHECKING;OCURRIO_SIN_CLAUSULA_ESPECIFICA_EN_EL_INSTRUMENTO;OCURRIO_SIN_CLAUSULA_ESPECIFICA_EN_EL_INSTRUMENTO;Ronda 3, formulario A.03 v3
ENTR-10;PENDIENTE_VERIFICAR_CHECKBOX_CONSENTIMIENTO_ORIGINAL;PENDIENTE_VERIFICAR_CHECKBOX_CONSENTIMIENTO_ORIGINAL;NO_CUBIERTO_POR_EL_INSTRUMENTO;NO_APLICA_SIN_MEMBER_CHECKING;OCURRIO_SIN_CLAUSULA_ESPECIFICA_EN_EL_INSTRUMENTO;OCURRIO_SIN_CLAUSULA_ESPECIFICA_EN_EL_INSTRUMENTO;Ronda 3, formulario A.03 v3
ENTR-11;PENDIENTE_VERIFICAR_CHECKBOX_CONSENTIMIENTO_ORIGINAL;PENDIENTE_VERIFICAR_CHECKBOX_CONSENTIMIENTO_ORIGINAL;NO_CUBIERTO_POR_EL_INSTRUMENTO;NO_APLICA_SIN_MEMBER_CHECKING;OCURRIO_SIN_CLAUSULA_ESPECIFICA_EN_EL_INSTRUMENTO;OCURRIO_SIN_CLAUSULA_ESPECIFICA_EN_EL_INSTRUMENTO;Ronda 3, formulario A.03 v3
ENTR-12;PENDIENTE_VERIFICAR_CHECKBOX_CONSENTIMIENTO_ORIGINAL;PENDIENTE_VERIFICAR_CHECKBOX_CONSENTIMIENTO_ORIGINAL;NO_CUBIERTO_POR_EL_INSTRUMENTO;NO_APLICA_SIN_MEMBER_CHECKING;OCURRIO_SIN_CLAUSULA_ESPECIFICA_EN_EL_INSTRUMENTO;OCURRIO_SIN_CLAUSULA_ESPECIFICA_EN_EL_INSTRUMENTO;Ronda 3, formulario A.03 v3
ENTR-13;PENDIENTE_VERIFICAR_CHECKBOX_CONSENTIMIENTO_ORIGINAL;PENDIENTE_VERIFICAR_CHECKBOX_CONSENTIMIENTO_ORIGINAL;NO_CUBIERTO_POR_EL_INSTRUMENTO;PENDIENTE_VERIFICAR_ACTA_ORIGINAL;OCURRIO_SIN_CLAUSULA_ESPECIFICA_EN_EL_INSTRUMENTO;OCURRIO_SIN_CLAUSULA_ESPECIFICA_EN_EL_INSTRUMENTO;Ronda 3, formulario A.03 v3
ENTR-14;PENDIENTE_VERIFICAR_CHECKBOX_CONSENTIMIENTO_ORIGINAL;PENDIENTE_VERIFICAR_CHECKBOX_CONSENTIMIENTO_ORIGINAL;NO_CUBIERTO_POR_EL_INSTRUMENTO;NO_APLICA_SIN_MEMBER_CHECKING;OCURRIO_SIN_CLAUSULA_ESPECIFICA_EN_EL_INSTRUMENTO;OCURRIO_SIN_CLAUSULA_ESPECIFICA_EN_EL_INSTRUMENTO;Ronda 3, formulario A.03 v3
