codigo;ronda;estrato;perfil_publico;perfil_especifico_interno;alias_aceptados;cargo_en_consentimiento;fuente_del_perfil;organizacion;fecha_entrevista;nota
ENTR-01;1;dominio;Administrador General;Administrador general;Administrador de la hacienda|Administrador general;Administrador General (manuscrito);Consentimiento manuscrito;Palmicultora M;2026-05-23;
ENTR-02;1;dominio;Asesor técnico;Asesor técnico;Asesor técnico de la plantación;Asesor Técnico (manuscrito);Consentimiento manuscrito;Palmicultora M;2026-05-23;"La transcripción decía 'Administrador'; el participante escribió 'Asesor Técnico' en su consentimiento y en la entrevista dice 'estoy aquí dando asesoramiento'."
ENTR-03;1;dominio;Jefe de polinización;Jefe de polinización;;Jefe de polinización (manuscrito);Consentimiento manuscrito;Palmicultora M;2026-05-23;
ENTR-04;2;dominio;Supervisor de técnicos agrícolas (planta extractora);Supervisor de técnicos agrícolas;Supervisor de técnicos agrícolas|Supervisor de técnicos;No consta (el formulario no tiene campo de cargo);Entrevista ('soy el supervisor de los técnicos agrícolas') y adenda de 2.ª ronda;Extractora R;2026-07-28;"El nombre del archivo de consentimiento dice 'TecnicoEstractora'; es una etiqueta informal."
ENTR-05;2;dominio;Trabajador agrícola;Trabajador agrícola;;No consta (el formulario no tiene campo de cargo);Entrevista y adenda de 2.ª ronda;Palmicultora M;2026-07-28;
ENTR-06;2;dominio;Trabajador agrícola;Trabajador agrícola;;No consta (el formulario no tiene campo de cargo);Entrevista y adenda de 2.ª ronda;Palmicultora M;2026-07-28;
ENTR-07;2;dominio;Asistente de administración;Asistente de administración;;No consta (el formulario no tiene campo de cargo);Entrevista y adenda de 2.ª ronda;Palmicultora M;2026-07-28;"La adenda de 2.ª ronda consigna la fecha 02/08/2026; el consentimiento y la transcripción, 28/07/2026."
ENTR-08;2;dominio;Técnico de extractora;Técnico agrícola de extractora;Técnico agrícola;No consta (el formulario no tiene campo de cargo);Entrevista y adenda de 2.ª ronda;Extractora R;2026-07-28;
ENTR-09;3;contraste;Profesional del área agrícola;Ingeniero agrónomo (asistente técnico);;No consta (el formulario A.03 v3 no tiene campo de cargo);Entrevista;;2026-08-31;"La A.14 preveía 'Docente / ingeniería del área'; el perfil real es otro (ver Adenda_Perfiles_Participantes)."
ENTR-10;3;contraste;Estudiante de carrera afín;Estudiante de Agropecuaria (3.er nivel);;No consta (el formulario A.03 v3 no tiene campo de cargo);Entrevista;;2026-08-31;La A.14 preveía 'Docente / ingeniería del área'.
ENTR-11;3;contraste;Estudiante de carrera afín;Estudiante de Ingeniería Agropecuaria (5.º semestre);;No consta (el formulario A.03 v3 no tiene campo de cargo);Entrevista;;2026-08-31;La A.14 preveía 'Profesional del área agrícola'.
ENTR-12;3;contraste;Profesional del área agrícola;Ingeniera en Biotecnología;;No consta (el formulario A.03 v3 no tiene campo de cargo);Entrevista;;2026-08-31;
ENTR-13;3;contraste;Profesional del área agrícola;Ingeniero agrónomo;Ingeniero agrónomo vinculado a una empresa compradora y procesadora de fruto|Ingeniero agrónomo, empresa compradora y procesadora;No consta (el formulario A.03 v3 no tiene campo de cargo);Entrevista y acta de member checking;;2026-09-01;La A.14 preveía 'Estudiantado de carrera afín'.
ENTR-14;3;contraste;Profesional del área agrícola;Ingeniero agropecuario;;No consta (el formulario A.03 v3 no tiene campo de cargo);Entrevista;;2026-09-01;La A.14 preveía 'Estudiantado de carrera afín'.
ENTR-15;3;contraste;Estudiante de carrera afín;Estudiante de Agroecología;;No consta (el formulario A.03 v3 no tiene campo de cargo);Entrevista;;2026-09-01;
ENTR-16;3;contraste;Profesional del área tecnológica;Ingeniero en sistemas;;No consta (el formulario A.03 v3 no tiene campo de cargo);Entrevista;;2026-09-01;La A.14 preveía 'Estudiantado de carrera afín'.
