id_requisito;tipo;nombre;evidencias_citadas;fecha_evidencia_mas_antigua;tipo_evidencia;commit_alta;fecha_commit_alta;CLASIFICACION_PROPUESTA;MOTIVO_PROPUESTA;en_propuesta_inicial;CLASIFICACION_VERIFICADA;VERIFICADO_POR;ALERTA;origen_completo_ers
RF-01;RF;Autenticación y control de acceso por rol;EV-01;2026-05-23;Entrevista (audio);2624c0f;2026-09-03;elicitado;cita evidencia: EV-01;;;;;Administrador general · \id{EV-01
RF-02;RF;Gestión de plantaciones y lotes;EV-01;2026-05-23;Entrevista (audio);2624c0f;2026-09-03;elicitado;cita evidencia: EV-01;;;;;Administrador general · \id{EV-01
RF-03;RF;Gestión de personal y equipos de trabajo;EV-01;2026-05-23;Entrevista (audio);2624c0f;2026-09-03;elicitado;cita evidencia: EV-01;senalado en el plan de mejora (correspondencia a verificar);;;FUNCIONALIDAD YA EN LA PROPUESTA DEL 2026-05-05 (senalado en el plan de mejora (correspondencia a verificar)), anterior a su evidencia 2026-05-23;Administrador general · \id{EV-01
RF-04;RF;Registro de labores agrícolas;EV-01;2026-05-23;Entrevista (audio);2624c0f;2026-09-03;elicitado;cita evidencia: EV-01;;;;;Trabajador agrícola / Jefe de campo · \id{EV-01
RF-05;RF;Registro de monitoreo fitosanitario;EV-01;2026-05-23;Entrevista (audio);2624c0f;2026-09-03;elicitado;cita evidencia: EV-01;;;;;Técnico fitosanitario · \id{EV-01
RF-06;RF;Seguimiento de etapas del cultivo;EV-01;2026-05-23;Entrevista (audio);2624c0f;2026-09-03;elicitado;cita evidencia: EV-01;;;;;Administrador general · \id{EV-01
RF-07;RF;Detección de plagas y enfermedades por análisis de imagen;EV-01;2026-05-23;Entrevista (audio);2624c0f;2026-09-03;elicitado;cita evidencia: EV-01;2.2 Análisis de palma con IA (IMAGEN);;;FUNCIONALIDAD YA EN LA PROPUESTA DEL 2026-05-05 (2.2 Análisis de palma con IA (IMAGEN)), anterior a su evidencia 2026-05-23;Técnico fitosanitario / Trabajador agrícola · \id{EV-01
RF-08;RF;Diagnóstico de deficiencias nutricionales por análisis de imagen;EV-02;2026-05-23;Entrevista (video);2624c0f;2026-09-03;elicitado;cita evidencia: EV-02;2.2 Análisis de palma con IA (IMAGEN);;;FUNCIONALIDAD YA EN LA PROPUESTA DEL 2026-05-05 (2.2 Análisis de palma con IA (IMAGEN)), anterior a su evidencia 2026-05-23;Administrador / Asesor técnico · \id{EV-02
RF-09;RF;Ficha técnica de plaga con recomendación de control;EV-01;2026-05-23;Entrevista (audio);2624c0f;2026-09-03;elicitado;cita evidencia: EV-01;;;;;Técnico fitosanitario · \id{EV-01
RF-10;RF;Gestión de variedades de palma;EV-01;2026-05-23;Entrevista (audio);2624c0f;2026-09-03;elicitado;cita evidencia: EV-01;;;;;Administrador / Asesor técnico · \id{EV-01
