| Entrevista | Audio (min) | Video (min) |
|---|---:|---:|
| ENTR-01 | 18.2 | 18.2 |
| ENTR-02 | 29.5 | 29.5 |
| ENTR-03 | 5.2 | 5.2 |
| ENTR-04 | 13.4 | 13.4 |
| ENTR-05 | 5.3 | 5.3 |
| ENTR-06 | 2.6 | 2.6 |
| ENTR-07 | 5.5 | 6.9 |
| ENTR-08 | 9.3 | 9.3 |
| ENTR-09 | 8.1 | 8.1 |
| ENTR-10 | 8.3 | 8.3 |
| ENTR-11 | 8.1 | 8.1 |
| ENTR-12 | 8.2 | 8.2 |
| ENTR-13 | 11.3 | 11.3 |
| ENTR-14 | 6.4 | 6.4 |
| ENTR-15 | 8.2 | 8.2 |
| ENTR-16 | 8.8 | 8.8 |

**Total de video: 157.8 minutos (9466 segundos), sobre 16 entrevistas.**
Mínimo exigido originalmente por la guía: 240 minutos. NO CUMPLE.
