Orden_global;ID_entrevista;ID_fuente;Estrato;Perfil;Fragmentos_codificados;Codigos_unicos_entrevista;Codigos_nuevos_estrato;Codigos_acumulados_estrato;Codigos_nuevos_agregado;Codigos_acumulados_agregado
1;ENTR-01;EV-01;dominio;Administrador General;23;23;23;23;23;23
2;ENTR-02;EV-02;dominio;Asesor técnico;15;15;8;31;8;31
3;ENTR-03;EV-03;dominio;Jefe de polinización;13;12;6;37;6;37
4;ENTR-04;EV-04;dominio;Supervisor de técnicos agrícolas (planta extractora);21;19;18;55;18;55
5;ENTR-05;EV-05;dominio;Trabajador agrícola;12;10;5;60;5;60
6;ENTR-06;EV-06;dominio;Trabajador agrícola;5;5;1;61;1;61
7;ENTR-07;EV-07;dominio;Asistente de administración;14;12;4;65;4;65
8;ENTR-08;EV-08;dominio;Técnico de extractora;21;11;2;67;2;67
9;ENTR-09;ENTR-09;contraste;Profesional del área agrícola;11;11;11;11;5;72
10;ENTR-10;ENTR-10;contraste;Estudiante de carrera afín;10;9;8;19;5;77
11;ENTR-11;ENTR-11;contraste;Estudiante de carrera afín;12;11;4;23;1;78
12;ENTR-12;ENTR-12;contraste;Profesional del área agrícola;8;7;3;26;1;79
13;ENTR-13;ENTR-13;contraste;Profesional del área agrícola;13;11;2;28;0;79
14;ENTR-14;ENTR-14;contraste;Profesional del área agrícola;10;8;3;31;1;80
15;ENTR-15;ENTR-15;contraste;Estudiante de carrera afín;14;12;4;35;2;82
16;ENTR-16;ENTR-16;contraste;Profesional del área tecnológica;11;9;1;36;0;82
